;num_rooms;m2;price;zip_code;scraping_date
0;4.0;140;690000;9475;2021-12-01
1;2.5;89;720000;8355;2021-12-01
2;5.5;210;915000;8355;2021-12-01
3;3.5;132;995000;8355;2021-12-01
5;2.5;60;550000;5000;2021-12-01
6;3.5;83;590000;5000;2021-12-01
7;4.5;96;795000;5000;2021-12-01
8;3.5;89;850000;5000;2021-12-01
9;5.0;156;1390000;5000;2021-12-01
10;4.5;86;525000;5004;2021-12-01
11;4.5;98;650000;5004;2021-12-01
12;4.5;97;695000;5004;2021-12-01
13;4.5;100;920000;5004;2021-12-01
14;2.5;60;550000;5032;2021-12-01
15;3.5;89;850000;5032;2021-12-01
16;3.5;80;530000;3270;2021-12-01
17;2.5;90;495000;4663;2021-12-01
18;4.5;128;950000;4663;2021-12-01
19;4.5;128;950000;4663;2021-12-01
20;4.5;187;965000;4663;2021-12-01
21;5.5;179;1055000;4663;2021-12-01
22;3.5;77;430000;4912;2021-12-01
24;3.5;122;790000;5646;2021-12-01
25;4.5;82;540000;9030;2021-12-01
26;6.0;120;85000;6716;2021-12-01
27;1.5;25;155000;6716;2021-12-01
28;3.5;67;385000;6716;2021-12-01
29;3.5;100;545000;6716;2021-12-01
30;4.5;105;795000;3715;2021-12-01
32;4.5;112;690000;8345;2021-12-01
33;4.0;85;680000;8106;2021-12-01
34;3.5;103;1190000;8106;2021-12-01
35;4.5;130;1590000;8106;2021-12-01
39;2.5;54;550000;8134;2021-12-01
40;3.5;77;780000;8134;2021-12-01
41;4.0;85;915000;8134;2021-12-01
42;3.5;91;1265000;8134;2021-12-01
43;3.5;94;750000;8412;2021-12-01
44;5.5;140;1030000;8412;2021-12-01
46;2.5;69;544000;4147;2021-12-01
47;3.5;95;639000;4147;2021-12-01
48;3.5;97;742000;4147;2021-12-01
49;4.5;93;750000;4147;2021-12-01
50;4.5;120;780000;4147;2021-12-01
52;4.0;123;890000;4147;2021-12-01
53;3.5;99;990000;4147;2021-12-01
55;3.5;111;1160000;4147;2021-12-01
57;3.5;111;1170000;4147;2021-12-01
58;5.5;39;1205000;4147;2021-12-01
59;4.5;128;1375000;4147;2021-12-01
60;4.5;128;1400000;4147;2021-12-01
63;4.5;125;645000;6287;2021-12-01
64;5.5;170;875000;6287;2021-12-01
67;4.5;120;980000;3703;2021-12-01
68;4.5;151;960000;3656;2021-12-01
69;4.5;123;1150000;8914;2021-12-01
70;3.5;91;635000;9556;2021-12-01
71;3.5;1126;735000;9556;2021-12-01
72;3.5;126;735000;9556;2021-12-01
73;4.5;150;795000;9556;2021-12-01
74;5.0;85;950000;8910;2021-12-01
75;4.5;126;1260000;8910;2021-12-01
76;4.5;150;1290000;8910;2021-12-01
78;4.5;103;280000;3951;2021-12-01
79;4.5;137;490000;3951;2021-12-01
80;5.5;161;540000;3951;2021-12-01
82;1.5;31;250000;6982;2021-12-01
84;2.5;48;310000;6982;2021-12-01
