num_rooms;m2;price;zip_code
2.5;66.41732283;1680;8840
1.5;46.76;850;5417
2.5;60;900;2503
3.5;108;1920;9500
3.5;70;2230;1268
3.5;76;1750;4242
3.5;87;2130;4242
1;24;980;3012
5;168;2400;1721
6;153;1950;4414
4.5;117;1770;3308
3.5;75;1500;3122
3.5;75;1480;3122
3.5;85;1975;8909
4.5;108;1500;6828
3.5;85;1450;3550
3.5;80;1500;1700
1;29;510;2502
4;72;2240;1004
3.5;105;2180;5442
4.5;124;2410;5442
3.5;90;1400;8586
3.5;80;1350;8586
4;100;1800;4500
4;100;1800;4500
3;75;1600;4500
2.5;66.41732283;1670;1304
3.5;120;2230;3011
2.5;86;1600;8360
3.5;84;1690;1920
2.5;44;1300;3800
4.5;139;1980;3422
1;40;1450;6317
3.5;92;1710;3294
3;79;1420;4055
2;76;1660;6004
4.5;168;3660;8136
3.5;102;2401;8136
1.5;30;750;8865
4.5;97;1880;5432
1.5;65;1680;4053
2.5;65;1340;9016
2.5;64;1090;8750
4.5;161;2275;6500
3.5;83;1860;5507
3.5;75;1215;3186
3.5;77;1669;8330
3.5;95;2190;8623
2.5;57;1670;8610
2.5;74;1815;4052
3.5;104;2535;1005
4;84;1351;2300
2;57;1435;4054
5.5;169;3610;8303
1.5;38;1020;4125
3.5;91;1990;1462
1;37;1340;8700
2.5;60;1200;6600
3.5;87;1760;4528
2.5;73;1550;9320
2;47;1232;4142
2.5;52;1230;1920
2;44;1490;4127
3.5;59;1570;5504
3.5;77;1790;6003
1.5;45;855;4513
3.5;74;1530;3052
6;185;4490;4052
4;82;1750;4142
3.5;87;1870;4123
2.5;54;1000;2540
4.5;102;1795;5620
3;61;1470;8404
2.5;67;1680;8953
4.5;98;2140;8603
3.5;70;1773;8910
3.5;95;2225;8957
3.5;75;1905;8804
3.5;77;1911;8902
2.5;59;1450;1006
2.5;64;1370;2017
4.5;95;2125;1400
3;64;1350;2000
3;77;1725;4051
4;82;1620;4132
4;95;1970;4123
2.5;74;1950;4001
3;83;1730;3013
4.5;73;1460;6020
3.5;97;1650;6370
3.5;75;1950;8180
2.5;99;2599;8706
2;53;1190;8604
3.5;75;1940;8180
3.5;75;1490;8957
2.5;65;1520;5712
4.5;102;1690;8200
4.5;102;1690;8200
3.5;84;1270;2800
4.5;78;1546;1870
3.5;64;1450;1630
3.5;87;2220;9322
2.5;74;1540;9470
4;89;1370;8570
4.5;110.4352941;1575;8586
2.5;59;2080;3008
4;75;1445;2557
3;70;1380;4108
2.5;65;1975;1005
2.5;49;1530;3072
3.5;85;2200;5610
3.5;86.183391;850;3433
3;77;1480;5000
2.5;50;2100;1004
4.5;110;2330;1400
1.5;46.76;620;9000
4;50;2170;1227
1;24;630;1920
2;31;750;3415
4.5;125;2350;1794
3;97;1370;8200
4.5;80;1590;3812
2.5;70;1440;4622
3.5;137;1800;4717
4.5;110.4352941;1600;6287
2;52;2100;1260
5.5;176;3950;3073
3.5;84;1450;3032
4;114;3980;8706
2.5;43;1250;5303
6.5;155;3030;3250
3.5;61;1260;3123
4;100;1929;1700
4.5;106;2350;3052
3.5;94;2150;3806
3.5;61;1290;4632
5.5;105;2900;8104
3.5;67;1740;9000
1;39;1790;8002
2.5;55;1050;3273
3.5;86.183391;790;2740
5;129.625;1200;2400
4;92.90196078;990;2400
4.5;81;1420;4500
3.5;63;1150;4500
4.5;95;1500;8200
3.5;80;1000;2300
4.5;110.4352941;1290;5734
2.5;66.41732283;1130;5734
2.5;66.41732283;950;6110
3;65;1090;8212
4.5;81;1370;4912
3.5;90;1850;5210
1;30;1850;4054
1;25;1550;4054
2;57.05263158;950;3011
3.5;86.183391;1590;3038
2;57;1590;4056
1.5;60;1790;1110
6.5;230;3920;1170
3.5;65;1200;8492
1;40;650;4900
3.5;86.183391;1800;3800
3.5;124;1750;3312
4.5;89;1520;3312
3.5;66;1650;4057
3.5;75;1290;6280
1;25;850;4057
1;32;1170;4057
3.5;60;1430;5000
3.5;97;1700;5737
3;69;1700;1400
2;47;1330;1400
3.5;86;3390;8032
2.5;66.41732283;1590;4123
3.5;80;1470;3027
5.5;180;2690;2502
2;55;990;4500
3.5;75;1040;2544
4.5;95;2570;3937
2.5;50;880;9400
4.5;120;1280;9400
3.5;86.183391;1050;1669
2.5;54;1310;9008
3.5;104;1975;4552
4.5;122;2140;4552
1;21;690;3008
4.5;90;1450;4950
3.5;86.183391;1640;8594
3.5;78;1870;4123
3.5;80;2070;4144
1.5;53;1250;3600
2.5;60;1017;4617
4;109;2290;4600
3.5;81;2580;8902
2.5;48;1590;3097
3;75;1190;2300
3;69;1200;9464
3.5;91;1350;8570
4.5;108;1840;6214
3.5;90;1960;5620
3.5;90;1630;9400
4.5;108;1945;9200
4;84;1730;8106
4.5;96;1708;4310
3;59;1110;1700
4.5;119;2490;3506
3.5;92;1950;6030
3.5;90;1959;8606
4.5;89;2480;8305
2.5;78;1770;5012
3;74;1420;9008
1;26;665;9000
4;80;1450;9200
