Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
Direkte Bundessteuer / Steuerperiode 2018 / Natürliche Personen,,,,,,,
Impôt fédéral direct / Période fiscale 2018 / Personnes physiques,,,,,,,
SCHWEIZ,,,,,,,
Gesamtergebnisse,,,,,,,
Résultats d'ensemble,,,,,,,
,,,,,,,
,,,Steuerbares,Ermässigungen,Steuerertrag,,
,,Pflichtige,Einkommen,für Kinder,pro Jahr,,
,Arten,Contribuables,Revenu,Réductions,Rendement de,Genres,
,,,imposable,pour des enfants,l'impôt par année,,
,,,1'000 Fr.,Anzahl / Nombre,Fr.,,
"Steuerpflichtige mit einer Belastung durch die direkte Bundessteuer
Contribuables acquittant un impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,3367680,253857069.7,824062,7570227031,Cas normaux,
Sonderfälle,,423868,44966384,0,2869760715,Cas spéciaux,
   Pauschalierte (Art. 14 DBG),,4491,2257901.9000000004,0,232723873,   Impôt à forfait (art. 14 LIFD),
   Übrige Sonderfälle (Art. 4 bis 7 und 37 DBG),,419377,42708482.1,.   ,2637036842,   Autres cas spéciaux (art. 4 à 7 et 37 LIFD),
Quellensteuer,,-   ,-     ,-   ,574769307,Imposition à la source,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,127974,19073371.600000005,-   ,249010314,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,,,,,,,
,Total,3919522,317896825.3,824062,11263767367,Total,
"Steuerpflichtige ohne Belastung durch die direkte Bundessteuer
Contribuables n'acquittant pas d'impôt fédéral direct",,,,,,,
,,,,,,,
Normalfälle,,1260949,19606759.7,341265,0,Cas normaux,
Sonderfälle,,141707,1546896.2,.   ,0,Cas spéciaux,
,,,,,,,
Kapitalleistungen aus Vorsorge (Art. 38 DBG),,65407,1330458.8,-   ,0,Prestations en capital provenant de la,
,,,,,,prévoyance (art. 38 LIFD),
,Total,1468063,22484114.7,341265,0,Total,
,,,,,,,
Entwicklung der direkten Bundessteuer der natürlichen Personen,,,,,,,
Evolution de l'impôt fédéral direct payé par les personnes physiques,,,,,,,
,,,,,,,
Nur steuerpflichtige Personen mit einer Belastung durch die direkte Bundessteuer,,,,,,,
Seulement les contribuables acquittant un impôt fédéral direct,,,,,,,
,Beginn der,,,,,Steuerertrag pro Jahr,
Perioden,Steuerpflicht,Anzahl,Steuerbares,Ermässigungen,Reines,Rendement de l'impôt par année,
Steuerjahre,(steuerbares Einkommen),Pflichtige,Einkommen,für Kinder,Einkommen,,
,Début de l'assu-,Nombre de,Revenu,Réductions,Revenu,,Veränderung in %
Périodes,jettissement,contribuables,imposable,pour des enfants,net,,Variation en %
Années fiscales,(revenu imposable),,,,1),,
,Fr.,,Mio. Fr.,Anzahl / Nombre,Mio. Fr.,1'000 Fr.,
 SP/PF    2005,16'100 / 27'400,3628988,246415.50409999996,.        ,256794.8767,7921956.059,6.579933949379367
 SP/PF    2006,16'900 / 29'200,3618682,251915.0005,.        ,262676.9499,7918603.589,-0.04231871491123229
